Anisotes_guineensis
Anisotes_ukambensis
Aphelandra_acanthifolia
Aphelandra_acanthus
Aphelandra_castanifolia
Aphelandra_crispata
Aphelandra_formosa
Aphelandra_gunnarii
Aphelandra_hartwegiana
Aphelandra_macrophylla
Aphelandra_merelloae
Aphelandra_mildbraediana
Aphelandra_parvispica
Aphelandra_pharangophila
Aphelandra_porphyrocarpa
Aphelandra_pulcherrima
Aphelandra_taborensis
Avicennia_alba
Avicennia_bicolor
Avicennia_germinans
Avicennia_integra
Avicennia_marina
Avicennia_officinalis
Avicennia_schaueriana
Ballochia_atrovirgata
Barleria_popovii
Blepharis_dhofarensis
Bravaisia_berlandieriana
Bravaisia_grandiflora
Bravaisia_integerrima
Graptophyllum_insularum
Justicia_adhatodoides
Justicia_maxima
Mackaya_bella
Metarungia_pubinervia
Mimulopsis_arborescens
Pachystachys_rosea
Ruellia_chartacea
Samuelssonia_verrucosa
Sanchezia_arborea
Sanchezia_klugii
Sanchezia_scandens
Sanchezia_tigrina
Sclerochiton_glandulosissimus
Sclerochiton_obtusisepalus
Sclerochiton_uluguruensis
Spathacanthus_parviflorus
Trichanthera_corymbosa
Trichanthera_gigantea
Buchnerodendron_speciosum
Caloncoba_brevipes
Caloncoba_crepiniana
Caloncoba_echinata
Caloncoba_flagelliflora
Caloncoba_gilgiana
Caloncoba_glauca
Caloncoba_lophocarpa
Caloncoba_subtomentosa
Caloncoba_welwitschii
Camptostylus_kivuensis
Camptostylus_mannii
Camptostylus_ovalis
Carpotroche_amazonica
Carpotroche_brasiliensis
Carpotroche_crispidentata
Carpotroche_grandiflora
Carpotroche_integrifolia
Carpotroche_longifolia
Carpotroche_pacifica
Carpotroche_platyptera
Carpotroche_ramosii
Carpotroche_surinamensis
Chiangiodendron_mexicanum
Dasylepis_blackii
Dasylepis_eggelingii
Dasylepis_integra
Dasylepis_racemosa
Dasylepis_seretii
Dasylepis_thomasii
Eleutherandra_pes-cervi
Erythrospermum_acuminatissimum
Erythrospermum_candidum
Erythrospermum_monticolum
Erythrospermum_sifarii
Erythrospermum_zeylanicum
Grandidiera_boivinii
Gynocardia_odorata
Hydnocarpus_alcalae
Hydnocarpus_alpina
Hydnocarpus_annamensis
Hydnocarpus_anomalus
Hydnocarpus_anthelminthicus
Hydnocarpus_beccarianus
Hydnocarpus_borneensis
Hydnocarpus_calophyllus
Hydnocarpus_castanea
Hydnocarpus_curtisii
Hydnocarpus_filipes
Hydnocarpus_glaucescens
Hydnocarpus_gracilis
Hydnocarpus_hainanensis
Hydnocarpus_ilicifolia
Hydnocarpus_kunstleri
Hydnocarpus_kurzii
Hydnocarpus_macrocarpa
Hydnocarpus_nana
Hydnocarpus_octandra
Hydnocarpus_pentandrus
Hydnocarpus_pinguis
Hydnocarpus_polypetalus
Hydnocarpus_scortechinii
